Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original Formula NIB,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,"<p>Authentic Estée Lauder makeup from Sol Beautiful — chosen for the formula, the ritual, and how it actually wears.</p><p>New in box. Packed in Fountain Valley, California and shipped from the United States.</p><p>Manufacturer UPC is listed on each shade we have verified — a check against the authentic counter formula.</p><p>2,557 sold — a formula people come back for.</p>",Estée Lauder,Health & Beauty > Personal Care > Cosmetics,Makeup,new-in-box,TRUE,active,116112402153-1,,Color / Shade,Cool Bone 1C1,,,,,,,,39.88,,,TRUE,,,,,,shopify,2,DENY,14,g,TRUE,manual,https://i.ebayimg.com/images/g/XGQAAOSwqmJl-epI/s-l800.jpg,1,Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original Formula NIB,,FALSE,Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original,"Authentic Estée Lauder makeup from Sol Beautiful — Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original Formula NIB. Packed in Fountain Valley, CA and shipped from the USA.",,Health & Beauty > Personal Care > Cosmetics,,Adult,,,,new,FALSE,Makeup,,new-in-box,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-2,,,Pure Beige 2C1,,,,,,,,44.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-3,,,Warm Porcelain 1W0,,,,,,,,44.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-4,,,Cool Vanilla 2C0,,,,,,,,38.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-5,,,Spiced Sand 4N2,,,,,,,,34.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,887167142534,,,Ivory Beige 3N1,,,,,,,,34.40,,,TRUE,,,,,,shopify,53,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-7,,,Wheat 3N2,,,,,,,,24.25,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,0088716735100,887167351004,,Porcelain 1N0,,,,,,,,33.16,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-9,027131969778,,Ivory Rose 2C4,,,,,,,,38.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-10,,,SandBar 3C3,,,,,,,,38.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-11,,,Shell Beige 4N1,,,,,,,,44.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,295289782718,027131971733,,Softan 4C3,,,,,,,,38.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,394075107793,887167351035,,Maple Deep 5N1.5,,,,,,,,38.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,276347194597,887167351011,,Buff 2N2,,,,,,,,47.70,,,TRUE,,,,,,shopify,129,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,0027131228417,,,Rich Ginger 5N1,,,,,,,,38.88,,,TRUE,,,,,,shopify,7,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,0027131392330,,,Ecru 1N2,,,,,,,,47.88,,,TRUE,,,,,,shopify,20,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131971740,027131971740,,Bronze 5W1,,,,,,,,29.90,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131187059,887167325197,,Outdoor Beige 4C1,,,,,,,,24.94,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,887167351042,887167351042,,Cinnamon 5W1.5,,,,,,,,34.20,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131392378,887167507135,,Sand 1W2,,,,,,,,29.30,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,887167449091,,,Alabaster 0N1,,,,,,,,38.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,0002713118708,,,Auburn 4C2,,,,,,,,22.44,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131934943,,,Ivory Nude 1N1,,,,,,,,38.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131971672,,,Bone 1W1,,,,,,,,38.88,,,TRUE,,,,,,shopify,42,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,887167449145,887167449145,,Sienna 7C2,,,,,,,,26.36,,,TRUE,,,,,,shopify,10,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131971597,,,Pebble 3C2,,,,,,,,41.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131228400,,,Desert Beige 2N1,,,,,,,,44.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-28,,,Warm Vanilla 2W0,,,,,,,,26.36,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,027131969686,,,Fresco 2C3,,,,,,,,41.90,,,TRUE,,,,,,shopify,53,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-30,,,Tawny 3W1,,,,,,,,48.80,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-31,,,Dusk 3C1,,,,,,,,44.88,,,TRUE,,,,,,shopify,28,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,116112402153-32,,,Dawn 2W1,,,,,,,,37.88,,,TRUE,,,,,,shopify,0,DENY,14,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Clinique Even Better SPF 15 Liquid Makeup Foundation 1 OZ / 30 ML Full Size NIB,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,"<p>Authentic Clinique makeup from Sol Beautiful — chosen for the formula, the ritual, and how it actually wears.</p><p>New in box. Packed in Fountain Valley, California and shipped from the United States.</p><p>Manufacturer UPC is listed on each shade we have verified — a check against the authentic counter formula.</p><p>973 sold — a formula people come back for.</p>",Clinique,Health & Beauty > Personal Care > Cosmetics,Makeup,new-in-box,TRUE,active,126356697166-1,020714324629,Shade,Ivory CN 28,,,,,,,,22.90,,,TRUE,,,,,,shopify,31,DENY,7,g,TRUE,manual,https://i.ebayimg.com/images/g/spEAAOSw3-5l4maK/s-l800.jpg,1,Clinique Even Better SPF 15 Liquid Makeup Foundation 1 OZ / 30 ML Full Size NIB,,FALSE,Clinique Even Better SPF 15 Liquid Makeup Foundation 1 OZ / 30 ML,"Authentic Clinique makeup from Sol Beautiful — Clinique Even Better SPF 15 Liquid Makeup Foundation 1 OZ / 30 ML Full Size NIB. Packed in Fountain Valley, CA and shipped from the USA.",,Health & Beauty > Personal Care > Cosmetics,,Adult,,,,new,FALSE,Makeup,,new-in-box,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-2,020714324704,,Porcelain Beige CN 62,,,,,,,,24.28,,,TRUE,,,,,,shopify,2,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-3,020714495428,,Linen CN 08,,,,,,,,24.60,,,TRUE,,,,,,shopify,8,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-4,020714977023,,Meringue WN 12,,,,,,,,21.16,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-5,,,Tea WN 44,,,,,,,,19.98,,,TRUE,,,,,,shopify,8,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-6,,,Breeze CN 02,,,,,,,,28.24,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-7,,,Ecru WN 22,,,,,,,,21.55,,,TRUE,,,,,,shopify,21,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-8,,,Stone WN 38,,,,,,,,23.98,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-9,020714495466,,Tawnied Beige WN 80,,,,,,,,19.98,,,TRUE,,,,,,shopify,16,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-10,020714495473,,Latte WN 82,,,,,,,,19.87,,,TRUE,,,,,,shopify,2,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-11,020714324636,,Cream Chamois CN 40,,,,,,,,23.88,,,TRUE,,,,,,shopify,17,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-12,020714324766,,Nutty CN 78,,,,,,,,19.98,,,TRUE,,,,,,shopify,101,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-13,020714977085,,Oat WN 48,,,,,,,,21.98,,,TRUE,,,,,,shopify,1,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-14,020714324674,,Beige CN 74,,,,,,,,24.44,,,TRUE,,,,,,shopify,5,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-15,020714324667,,Vanilla CN 70,,,,,,,,27.88,,,TRUE,,,,,,shopify,5,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-16,020714495435,,Buff WN 16,,,,,,,,21.97,,,TRUE,,,,,,shopify,26,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-17,020714495442,,Cashew WN 56,,,,,,,,16.98,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-18,020714324735,,Cream Whip CN 18,,,,,,,,22.98,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-19,020714324650,,Honey CN 58,,,,,,,,22.88,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-20,020714324681,,Sand CN 90,,,,,,,,22.38,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-21,020714324605,,Alabaster CN 10,,,,,,,,25.90,,,TRUE,,,,,,shopify,49,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-22,020714495459,,Butterscotch WN 64,,,,,,,,23.99,,,TRUE,,,,,,shopify,5,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-23,020714404611,,Clove WN 122,,,,,,,,14.68,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-24,020714324698,,Golden WN 114,,,,,,,,19.87,,,TRUE,,,,,,shopify,26,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-25,,,Honey Wheat WN 54,,,,,,,,21.90,,,TRUE,,,,,,shopify,16,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-26,020714324643,,Neutral CN 52,,,,,,,,23.98,,,TRUE,,,,,,shopify,22,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-27,,,Toasted Wheat WN 76,,,,,,,,19.98,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-28,,,Bisque CN 29,,,,,,,,21.97,,,TRUE,,,,,,shopify,0,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,clinique-clinique-even-better-spf-15-liquid-makeup-foundation-1-oz-30,,,,,,,,126356697166-29,,,Fair CN 20,,,,,,,,25.98,,,TRUE,,,,,,shopify,41,DENY,7,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
