Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original Formula NIB,"<p>Authentic Estée Lauder makeup from Sol Beautiful — chosen for the formula, the ritual, and how it actually wears.</p><p>New in box. Packed in Fountain Valley, California and shipped from the United States.</p><p>Manufacturer UPC is listed on each shade we have verified — a check against the authentic counter formula.</p><p>2,557 sold — a formula people come back for.</p>",Estée Lauder,Health & Beauty > Personal Care,Makeup,new-in-box,TRUE,Color / Shade,Cool Bone 1C1,,,,,116112402153-1,14,shopify,2,deny,manual,39.88,,TRUE,TRUE,,https://i.ebayimg.com/images/g/XGQAAOSwqmJl-epI/s-l800.jpg,1,Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original Formula NIB,FALSE,Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original Formula NIB | Sol Beautiful,"Authentic Estée Lauder makeup from Sol Beautiful — Estée Lauder Double Wear Stayinplace Makeup Foundation 1 OZ Original Formula NIB. Packed in Fountain Valley, CA and shipped from the USA.",oz,,active
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Pure Beige 2C1,,,,,116112402153-2,14,shopify,0,deny,manual,44.88,,TRUE,TRUE,,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Warm Porcelain 1W0,,,,,116112402153-3,14,shopify,0,deny,manual,44.88,,TRUE,TRUE,,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Cool Vanilla 2C0,,,,,116112402153-4,14,shopify,0,deny,manual,38.88,,TRUE,TRUE,,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Spiced Sand 4N2,,,,,116112402153-5,14,shopify,0,deny,manual,34.88,,TRUE,TRUE,,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Ivory Beige 3N1,,,,,887167142534,14,shopify,53,deny,manual,34.40,,TRUE,TRUE,,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Wheat 3N2,,,,,116112402153-7,14,shopify,0,deny,manual,24.25,,TRUE,TRUE,,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Porcelain 1N0,,,,,0088716735100,14,shopify,0,deny,manual,33.16,,TRUE,TRUE,887167351004,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Ivory Rose 2C4,,,,,116112402153-9,14,shopify,0,deny,manual,38.88,,TRUE,TRUE,027131969778,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,SandBar 3C3,,,,,116112402153-10,14,shopify,0,deny,manual,38.88,,TRUE,TRUE,,,,,,,,oz,,
est-e-lauder-est-e-lauder-double-wear-stayinplace-makeup-foundation-1,,,,,,,,,Shell Beige 4N1,,,,,116112402153-11,14,shopify,0,deny,manual,44.88,,TRUE,TRUE,,,,,,,,oz,,
